"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"DNAJC10","ENSG00000077232","DNAJC10",0.177708744776876,0.368974282944375,-1.17690035037929,1,"DnaJ heat shock protein family (Hsp40) member C10","NO","NO"
"DNAJC13","ENSG00000138246","DNAJC13",-0.129701194666851,0.434732353261913,-0.05511773874847,2,"DnaJ heat shock protein family (Hsp40) member C13","NO","NO"
"DNAJC15","ENSG00000120675","DNAJC15",-0.0457798135231275,0.778128744658823,1.10115100682004,2,"DnaJ heat shock protein family (Hsp40) member C15","NO","NO"
"DNAJC17","ENSG00000104129","DNAJC17",-0.184537211032156,0.355956584242589,0.805193049091428,1,"DnaJ heat shock protein family (Hsp40) member C17","NO","NO"
"DNAJC2","ENSG00000105821","DNAJC2",0.156742556526591,0.383400693128026,0.723178389059267,1,"DnaJ heat shock protein family (Hsp40) member C2","NO","YES"
"DNAJC21","ENSG00000168724","DNAJC21",0.036549693076509,0.821587300306857,-1.12755813074111,2,"DnaJ heat shock protein family (Hsp40) member C21","NO","YES"
"DNAJC24","ENSG00000170946","DNAJC24",0.147862798110569,0.460141122220966,1.29348169488049,1,"DnaJ heat shock protein family (Hsp40) member C24","NO","NO"
"DNAJC3","ENSG00000102580","DNAJC3",0.0956354660963683,0.696244985474985,-1.11098891541683,1,"DnaJ heat shock protein family (Hsp40) member C3","NO","NO"
"DNAJC30","ENSG00000176410","DNAJC30",0.0647257756307069,0.845702020547099,1.10308867871138,1,"DnaJ heat shock protein family (Hsp40) member C30","NO","NO"
"DNAJC5","ENSG00000101152","DNAJC5",-0.0617673801789929,0.746621449078606,-1.1263245960736,1,"DnaJ heat shock protein family (Hsp40) member C5","NO","NO"
"DNER","ENSG00000187957","DNER",0.11214311569141,0.853941722774506,-0.694105579910007,3,"delta/notch like EGF repeat containing","NO","NO"
"DNMT3A","ENSG00000119772","DNMT3A",-0.132137504367348,0.572105690514016,-0.95531382698946,1,"DNA methyltransferase 3 alpha","NO","YES"
"DNMT3B","ENSG00000088305","DNMT3B",0.066928497961551,0.677016938378269,1.24924106174789,1,"DNA methyltransferase 3 beta","NO","YES"
"DNTTIP2","ENSG00000067334","DNTTIP2",0.107579425187527,0.580291510011036,1.39827271577772,1,"deoxynucleotidyltransferase terminal interacting protein 2","NO","NO"
"DOCK1","ENSG00000150760","DOCK1",-0.149280413280207,0.272980836017162,-1.10116177362293,7,"dedicator of cytokinesis 1","NO","NO"
"DOCK10","ENSG00000135905","DOCK10",0.519788445721547,0.476245521708691,-1.39588013387578,1,"dedicator of cytokinesis 10","NO","NO"
"DOCK2","ENSG00000134516","DOCK2",0.132152086425628,0.904379434817066,-1.48988929183272,1,"dedicator of cytokinesis 2","NO","NO"
"DOCK3","ENSG00000088538","DOCK3",-0.0822165977201719,0.788127414432297,0.840695111975985,1,"dedicator of cytokinesis 3","NO","NO"
"DOCK4","ENSG00000128512","DOCK4",-0.267560997245908,0.576401376675973,0.260513102310174,3,"dedicator of cytokinesis 4","NO","NO"
"DOCK5","ENSG00000147459","DOCK5",-0.23296346735611,0.316713635046776,0.0473289518368611,3,"dedicator of cytokinesis 5","NO","NO"
"DONSON","ENSG00000159147","DONSON",0.00977480343931347,0.959396878953328,1.06455292616017,1,"DNA replication fork stabilization factor DONSON","NO","NO"
"DPH6","ENSG00000134146","DPH6",0.227639191238878,0.598615891952136,-1.20112658862335,2,"diphthamine biosynthesis 6","NO","NO"
"DPP4","ENSG00000197635","DPP4",-0.316938730079296,0.55245060558177,0.42824627444839,3,"dipeptidyl peptidase 4","NO","NO"
"DPY19L1","ENSG00000173852","DPY19L1",0.040791516387678,0.769579680571838,0.960011579894615,3,"dpy-19 like C-mannosyltransferase 1","NO","NO"
"DPYD","ENSG00000188641","DPYD",-0.552210705376875,0.571110616158723,0.75528837486228,1,"dihydropyrimidine dehydrogenase","NO","NO"
